Brand,Model,Year,image_file,Total megapixels,Max_Exposure_Comp,Normal_Focus_cm,Battery,Sensor resolution,Crop factor,Sensor type,Dimensions,Max aperture,Min_Aperture_F,Min_Shutter_Speed_Sec,White balance presets,Macro_Focus_cm,Optical zoom,USB,Weight_g,Max. aperture (35mm equiv.),Focal length (35mm equiv.),Also known as,Aperture priority,Max. image resolution,Max_Shutter_Speed_Sec,Storage types,Effective megapixels,Megapixels,Max. video resolution,Screen_Size_in,Metering,Digital zoom,Shutter priority,Sensor size,Viewfinder,Screen_Res_Dots,Max_ISO,Dim_L,Dim_W,Dim_H,Supports_4K,Portability_Score,Aperture_Value,LowLight_Score,Video_Score
Canon,EOS M50 II,2020,data/images/canon_eos-m50-ii.jpg,25.8,3,,LP-E12 lithium-ion battery,6012 x 4008,1.61,CMOS,116.3 x 88.1 x 58.7 mm,,,30,7,,,USB 2.0 (480 Mbit/sec),387,,,EOS Kiss M2(Japan),Yes,6000 x 4000,0.00025,SD/SDHC/SDXC,24.1,,3840x2160 (24p/�?5p),3,"Multi, Center-weighted, Spot",,Yes,22.3 x 14.9 mm,Electronic,1040000,51200,116.3,88.1,58.7,TRUE,20,,68.88733965,71.22559955
Fujifilm,X-T4,2020,data/images/fujifilm_x-t4.jpg,,5,,NP-W235 lithium-ion battery,6277 x 4157,1.53,CMOS,134.6 x 92.8 x 63.8 mm,,,900,7,,,USB 3.0 (5 GBit/sec),607,,,,Yes,6240 x 4160,3.13E-05,SD/SDHC/SDXC,,26.1,4096x2160 (60p/�?0p/�?0p/�?5p/�?4p),3,"Multi, Center-weighted, Average, Spot",No,Yes,23.5 x 15.6 mm,Electronic,1620000,51200,134.6,92.8,63.8,TRUE,20,,69.60680424,67.08031233
Fujifilm,X-T200,2020,data/images/fujifilm_x-t200.jpg,,5,,NP-W126S lithium-ion battery,6026 x 4017,1.53,CMOS,121 x 83.7 x 55.1 mm,,,30,7,,,USB 3.0 (5 GBit/sec),370,,,,Yes,6000 x 4000,3.13E-05,SD/SDHC/SDXC,,24.2,3840x2160 (30p/�?5p/�?4p/�?3.98p),3.5,"Multi, Average, Spot",No,Yes,23.5 x 15.7 mm,Electronic,2760000,51200,121,83.7,55.1,TRUE,20,,69.60680424,72.19604016
Fujifilm,X-S10,2020,data/images/fujifilm_x-s10.jpg,,5,,NP-W126S Li-ion battery,6277 x 4157,1.53,CMOS,126 x 85.1 x 65.4 mm,,,900,7,,,USB 3.0 (5 GBit/sec),465,,,,Yes,6240 x 4160,0.00025,SD/SDHC/SDXC,,26.1,4096x2160 (30p/�?5p/�?4p),3,"Multi, Center-weighted, Average, Spot",,Yes,23.5 x 15.6 mm,Electronic,1040000,51200,126,85.1,65.4,TRUE,20,,69.60680424,71.22559955
Fujifilm,X100V,2020,data/images/fujifilm_x100v.jpg,,5,80,NP-W126S lithium-ion battery,6277 x 4157,1.53,CMOS,128 x 74.8 x 53.3 mm,f2.0,2,30,7,10,1x,USB 3.0 (5 GBit/sec),478,f3.1,35 mm,,Yes,6240 x 4160,3.13E-05,SD/SDHC/SDXC,,26.1,4096x2160 (30p/�?5p/�?4p),3,"Multi, Center-weighted, Average, Spot",Yes,Yes,23.5 x 15.6 mm,Electronic and Optical (tunnel),1620000,51200,128,74.8,53.3,TRUE,20,0.5,96.18516453,67.08031233
Leica,SL2-S,2020,data/images/leica_sl2-s.jpg,,3,,BP-SCL4 Lithium-ion battery,6075 x 4050,1,CMOS,146 x 107 x 83 mm,,,1800,8,,,USB 3.0 (5 GBit/sec),931,,,,Yes,6000 x 4000,0.000125,SD/SDHC/SDXC,,24.6,4096x2160 (60p/�?0p/�?0p/�?5p/�?4p),3.2,"Multi, Center-weighted, Spot",,Yes,36 x 24 mm,Electronic,2100000,100000,146,107,83,TRUE,20,,71.08059119,73.14974902
Leica,M10-R,2020,data/images/leica_m10-r.jpg,,3,,BC-SCL5 lithium-ion battery,7842 x 5228,1,CMOS,139 x 38.5 x 80 mm,,,960,8,,,,660,,,,Yes,7864 x 5200,0.00025,SD/SDHC/SDXC,,41,,3,"Multi, Center-weighted, Spot",No,No,36 x 24 mm,Optical (rangefinder),1036800,50000,139,38.5,80,FALSE,20,,70.19520357,31.22559955
Nikon,Coolpix P950,2020,data/images/nikon_p950.jpg,16.79,2,50,EN-EL20a lithium-ion battery,4612 x 3468,5.62,CMOS,140.2 x 109.6 x 149.8 mm,f2.8 - f6.5,2.8,30,5,1,83x,USB 2.0 (480 Mbit/sec),1005,f15.7 - f36.5,24 - 2000 mm,,Yes,4608 x 3456,0.00025,SD/SDHC/SDXC,16,,3840x2160 (30p/�?5p),3.2,"Multi, Center-weighted, Spot",Yes,Yes,"1/2.3"" (~ 6.16 x 4.62 mm)",Electronic,921000,6400,140.2,109.6,149.8,TRUE,20,0.357142857,73.65030675,75.87702175
Nikon,Z6 II,2020,data/images/nikon_z6-ii.jpg,25.28,5,,EN-EL15c Li-ion battery,6062 x 4041,1,CMOS,134 x 100.5 x 69.5 mm,,,900,12,,,USB 3.0 (5 GBit/sec),615,,,,Yes,6048 x 4024,0.000125,"SD/SDHC/SDXC, CFexpress Type B / XQD",24.5,,3840x2160 (30p/�?5p/�?4p),3.2,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,35.9 x 23.9 mm,Electronic,2100000,204800,134,100.5,69.5,TRUE,20,,71.85443391,73.14974902
Nikon,Z5,2020,data/images/nikon_z5.jpg,24.93,5,,EN-EL15c rechargeable Li-ion battery,6038 x 4025,1,CMOS,134 x 100.5 x 69.5 mm,,,30,12,,,USB 3.0 (5 GBit/sec),675,,,,Yes,6016 x 4016,0.000125,SD/SDHC/SDXC,24.3,,3840x2160 (30p/�?5p/�?4p),3.2,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,35.9 x 23.9 mm,Electronic,1040000,102400,134,100.5,69.5,TRUE,20,,71.3803681,73.14974902
Nikon,D6,2020,data/images/nikon_d6.jpg,21.33,5,,EN-EL18c lithium-ion battery,5586 x 3724,1,CMOS,160 x 163 x 92 mm,,,30,12,,,USB 3.0 (5 GBit/sec),1270,,,,Yes,5568 x 3712,0.000125,XQD/CFexpress,20.8,,3840x2160 (30p/�?5p/�?4p),3.2,"Multi, Center-weighted, Highlight-weighted, Spot",,Yes,35.9 x 23.9 mm,Optical (pentaprism),2359000,3280000,160,163,92,TRUE,20,,72.27272727,73.14974902
Nikon,D780,2020,data/images/nikon_d780.jpg,24.92,5,,EN-EL15b lithium-ion battery,6062 x 4041,1,CMOS,143.5 x 115.5 x 76 mm,,,30,12,,,USB 3.0 (5 GBit/sec),840,,,,Yes,6048 x 4024,0.000125,SD/SDHC/SDXC,24.5,,3840x2160 (30p/�?5p/�?4p),3.2,"Multi, Center-weighted, Highlight-weighted, Spot",No,Yes,35.9 x 23.9 mm,Optical (pentaprism),2359000,204800,143.5,115.5,76,TRUE,20,,71.85443391,73.14974902
Nikon,Z7 II,2020,data/images/nikon_z7-ii.jpg,46.89,5,,EN-EL15c Li-ion battery,8280 x 5520,1,CMOS,134 x 100.5 x 69.5 mm,,,900,12,,,USB 3.0 (5 GBit/sec),615,,,,Yes,8256 x 5504,0.000125,"SD/SDHC/SDXC, CFexpress Type B / XQD",45.7,,3840x2160 (60p/�?0p/�?5p/�?4p),3.2,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,35.9 x 23.9 mm,Electronic,2100000,102400,134,100.5,69.5,TRUE,20,,71.3803681,73.14974902
Olympus,OM-D E-M10 Mark IV,2020,data/images/olympus_e-m10-iv.jpg,21.8,5,,BLS-50 lithium-ion battery,5196 x 3907,2,CMOS,121.7 x 84.4 x 49 mm,,,60,7,,,USB 2.0 (480 Mbit/sec),383,,,,Yes,5184 x 3888,0.00025,SD/SDHC/SDXC,20.3,,3840x2160 (30p/�?5p/�?4p),3,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,Four Thirds (17.3 x 13 mm),Electronic,1037000,25600,121.7,84.4,49,TRUE,20,,67.09843837,71.22559955
Olympus,OM-D E-M1 Mark III,2020,data/images/olympus_o-md-e-m1-mark-iii.jpg,21.8,5,,BLH-1 lithium-ion battery,5208 x 3916,2,CMOS,134.1 x 90.9 x 68.9 mm,,,60,7,,,USB 3.0 (5 GBit/sec),580,,,,Yes,5184 x 3888,3.13E-05,SD/SDHC/SDXC,20.4,,4096x2160 (24p),3,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,Four Thirds (17.3 x 13 mm),Electronic,1037000,64,134.1,90.9,68.9,TRUE,20,,25.8337981,67.08031233
